iter	Passed	Remaining
0	153	153229
1	155	77512
2	157	52281
3	159	39596
4	160	31911
5	161	26788
6	163	23148
7	164	20402
8	165	18261
9	166	16522
10	168	15113
11	169	13937
12	170	12938
13	171	12069
14	172	11350
15	174	10703
16	175	10125
17	176	9610
18	177	9156
19	178	8737
20	179	8370
21	180	8030
22	181	7718
23	182	7429
24	183	7163
25	184	6921
26	185	6693
27	186	6482
28	187	6283
29	188	6099
30	189	5935
31	192	5824
32	194	5692
33	195	5568
34	197	5433
35	197	5301
36	199	5181
37	200	5073
38	201	4971
39	203	4872
40	204	4773
41	205	4692
42	207	4614
43	208	4536
44	209	4456
45	211	4379
46	212	4303
47	214	4246
48	215	4177
49	216	4118
50	218	4062
51	219	4007
52	221	3964
53	223	3923
54	225	3882
55	232	3924
56	234	3881
57	236	3841
58	237	3790
59	238	3742
60	240	3695
61	242	3662
62	244	3634
63	246	3609
64	248	3573
65	250	3545
66	263	3674
67	267	3662
68	269	3637
69	271	3609
70	274	3594
71	280	3617
72	285	3629
73	288	3605
74	290	3578
75	291	3546
76	294	3526
77	297	3512
78	312	3637
79	315	3628
80	319	3619
81	330	3696
82	333	3680
83	336	3669
84	338	3647
85	346	3686
86	348	3659
87	350	3634
88	352	3606
89	354	3581
90	355	3550
91	356	3519
92	362	3535
93	368	3547
94	369	3519
95	371	3494
96	372	3466
97	374	3442
98	375	3419
99	377	3394
100	378	3370
101	379	3345
102	381	3319
103	382	3293
104	383	3268
105	385	3248
106	386	3227
107	387	3204
108	389	3182
109	390	3160
110	392	3143
111	398	3160
112	401	3150
113	404	3140
114	406	3131
115	408	3113
116	409	3091
117	411	3074
118	413	3057
119	414	3040
120	416	3029
121	419	3019
122	420	3000
123	422	2982
124	423	2964
125	424	2947
126	426	2932
127	428	2915
128	429	2902
129	432	2893
130	433	2878
131	437	2875
132	439	2866
133	441	2854
134	443	2838
135	444	2820
136	446	2811
137	460	2873
138	463	2869
139	466	2868
140	470	2869
141	473	2858
142	475	2848
143	478	2842
144	483	2850
145	485	2837
146	486	2824
147	489	2817
148	496	2833
149	500	2836
150	507	2852
151	510	2847
152	514	2848
153	516	2837
154	519	2831
155	521	2821
156	523	2811
157	527	2809
158	529	2802
159	531	2792
160	533	2782
161	536	2773
162	538	2764
163	539	2751
164	540	2737
165	541	2722
166	543	2709
167	544	2696
168	546	2684
169	547	2675
170	550	2668
171	551	2655
172	552	2642
173	555	2634
174	562	2651
175	568	2662
176	571	2655
177	578	2669
178	580	2660
179	582	2651
180	584	2642
181	585	2633
182	587	2625
183	589	2615
184	591	2604
185	601	2633
186	603	2622
187	608	2629
188	613	2630
189	614	2619
190	616	2609
191	618	2602
192	621	2598
193	623	2591
194	625	2581
195	626	2571
196	628	2560
197	629	2550
198	631	2541
199	632	2530
200	634	2522
201	640	2528
202	641	2517
203	642	2506
204	643	2495
205	644	2485
206	646	2475
207	647	2466
208	648	2455
209	650	2445
210	651	2435
211	653	2427
212	656	2426
213	658	2417
214	659	2408
215	661	2402
216	663	2394
217	665	2388
218	668	2383
219	669	2374
220	671	2365
221	672	2355
222	673	2347
223	675	2338
224	676	2330
225	678	2324
226	680	2318
227	682	2311
228	684	2304
229	686	2296
230	687	2288
231	688	2280
232	690	2271
233	691	2262
234	692	2253
235	693	2244
236	694	2235
237	695	2226
238	696	2218
239	699	2214
240	700	2207
241	702	2199
242	704	2194
243	706	2190
244	708	2184
245	710	2177
246	711	2169
247	713	2164
248	715	2156
249	717	2151
250	719	2146
251	721	2140
252	722	2133
253	724	2127
254	725	2120
255	727	2113
256	728	2105
257	729	2097
258	730	2090
259	732	2084
260	734	2078
261	735	2071
262	736	2064
263	737	2057
264	739	2049
265	740	2042
266	742	2038
267	744	2032
268	745	2025
269	746	2018
270	749	2017
271	752	2013
272	753	2007
273	755	2000
274	756	1993
275	757	1986
276	758	1980
277	760	1975
278	762	1969
279	766	1971
280	769	1968
281	771	1964
282	773	1958
283	774	1951
284	775	1945
285	776	1938
286	777	1932
287	778	1925
288	780	1919
289	781	1912
290	782	1906
291	783	1899
292	784	1893
293	787	1891
294	788	1884
295	789	1877
296	791	1873
297	793	1868
298	796	1866
299	797	1861
300	799	1857
301	801	1851
302	804	1850
303	817	1872
304	819	1868
305	821	1863
306	823	1857
307	824	1852
308	825	1846
309	828	1843
310	829	1837
311	831	1832
312	832	1827
313	833	1820
314	834	1814
315	835	1809
316	837	1804
317	838	1799
318	840	1794
319	842	1790
320	844	1786
321	847	1783
322	848	1779
323	850	1774
324	853	1772
325	855	1767
326	857	1765
327	860	1762
328	861	1757
329	863	1752
330	864	1747
331	865	1741
332	867	1736
333	868	1732
334	869	1726
335	871	1721
336	872	1716
337	876	1717
338	878	1712
339	879	1707
340	881	1704
341	884	1701
342	886	1698
343	890	1697
344	891	1692
345	892	1687
346	894	1682
347	896	1679
348	897	1674
349	899	1669
350	900	1665
351	902	1661
352	904	1658
353	906	1653
354	907	1648
355	908	1644
356	910	1639
357	911	1633
358	912	1628
359	913	1623
360	914	1617
361	914	1612
362	915	1607
363	916	1602
364	918	1598
365	919	1593
366	920	1588
367	922	1583
368	923	1579
369	925	1576
370	926	1571
371	928	1567
372	929	1562
373	930	1558
374	932	1554
375	933	1549
376	934	1545
377	936	1540
378	937	1535
379	938	1531
380	940	1527
381	941	1522
382	942	1517
383	943	1513
384	944	1508
385	951	1513
386	952	1509
387	953	1504
388	954	1499
389	955	1494
390	955	1488
391	956	1484
392	957	1479
393	958	1474
394	959	1469
395	960	1464
396	961	1460
397	962	1456
398	963	1451
399	964	1447
400	965	1442
401	967	1438
402	968	1434
403	969	1430
404	970	1425
405	971	1421
406	972	1417
407	973	1412
408	974	1408
409	975	1404
410	976	1399
411	977	1395
412	978	1391
413	979	1386
414	980	1382
415	981	1378
416	982	1373
417	983	1369
418	984	1365
419	985	1361
420	986	1356
421	987	1352
422	988	1348
423	989	1344
424	990	1340
425	991	1336
426	992	1332
427	994	1328
428	995	1324
429	996	1320
430	997	1317
431	998	1313
432	999	1309
433	1000	1305
434	1001	1300
435	1002	1296
436	1003	1292
437	1004	1288
438	1005	1284
439	1005	1280
440	1006	1276
441	1007	1271
442	1008	1267
443	1009	1263
444	1009	1259
445	1010	1255
446	1011	1251
